                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3465,                 2.7106,                 1.2146,                0.00333,                0.98378,                0.69204,                0.34064,                 1.0693,                 3.3183,                 1.0359,                0.00065,                0.00065,                0.00065
                      2,                 1.1763,                 1.5566,                 1.0692,                0.35168,                0.50811,                0.40587,                0.25436,                 1.1717,                  2.583,                 1.1095,              0.0013036,              0.0013036,              0.0013036
                      3,                 1.1974,                 1.3497,                 1.0994,                0.92456,                0.92751,                0.95416,                0.59431,                 1.2261,                 1.2055,                 1.1737,              0.0019441,              0.0019441,              0.0019441
                      4,                 1.1943,                 1.1552,                 1.0873,                0.93748,                0.89159,                0.94247,                0.56706,                 1.2879,                 1.1869,                 1.2023,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.1548,                 1.0016,                 1.0683,                0.97766,                0.94595,                0.95684,                0.64861,                 1.1133,                0.90316,                  1.062,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.1485,                  0.926,                 1.0592,                0.97657,                0.90119,                0.96187,                0.62629,                 1.1784,                0.82173,                 1.1196,               0.001901,               0.001901,               0.001901
                      7,                  1.134,                 0.8644,                 1.0813,                0.97839,                0.92432,                0.96062,                 0.6611,                 1.0703,                0.77437,                 1.0547,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.1166,                 0.8017,                 1.0633,                 0.9718,                0.93133,                0.95598,                0.66479,                 1.0686,                0.77674,                 1.0767,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.0821,                0.77499,                 1.0554,                0.96873,                0.94595,                0.96728,                0.66069,                 1.0735,                0.73536,                 1.0574,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.1113,                0.73722,                 1.0564,                0.97259,                0.95896,                0.97796,                0.66145,                 1.1032,                0.64688,                 1.0889,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.0737,                0.71751,                 1.0394,                0.94566,                0.94075,                0.96822,                0.65398,                  1.093,                0.68852,                 1.0531,               0.001802,               0.001802,               0.001802
                     12,                 1.0204,                0.68161,                  1.021,                  0.983,                0.95676,                0.97454,                0.68799,                 1.0583,                0.60539,                 1.0369,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.0276,                0.67686,                 1.0302,                0.96914,                0.95135,                0.97267,                0.67653,                 1.1069,                0.61521,                 1.0628,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.0242,                0.65808,                  1.024,                0.96871,                0.95676,                0.96928,                0.69909,                 1.0118,                  0.648,                 1.0212,              0.0017426,              0.0017426,              0.0017426
                     15,                  1.012,                0.66116,                 1.0315,                0.98877,                0.95154,                0.97454,                0.67094,                 1.1265,                0.59782,                 1.0631,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.0255,                0.63919,                 1.0273,                0.95904,                0.95676,                0.97179,                0.67435,                 1.0518,                0.59824,                 1.0215,               0.001703,               0.001703,               0.001703
                     17,                  0.973,                0.59712,                   1.01,                0.97272,                0.96369,                0.97106,                0.69756,                  1.047,                0.54835,                 1.0197,              0.0016832,              0.0016832,              0.0016832
                     18,                0.98715,                0.60368,                 1.0002,                0.97392,                0.91351,                0.96965,                0.64139,                 1.1136,                0.59279,                 1.0435,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.0095,                0.61947,                 1.0259,                0.97791,                0.95697,                0.98127,                0.69551,                 1.0404,                0.55889,                 1.0262,              0.0016436,              0.0016436,              0.0016436
                     20,                0.99514,                0.59758,                 1.0142,                 0.9895,                0.93514,                 0.9779,                0.71042,                0.99658,                0.53954,                 1.0245,              0.0016238,              0.0016238,              0.0016238
